..........................] - ETA: 6:01 - loss: 2.4862
 5200/58608 [=>............................] - ETA: 6:01 - loss: 2.4850
 5216/58608 [=>............................] - ETA: 6:01 - loss: 2.4858
 5232/58608 [=>............................] - ETA: 6:01 - loss: 2.4865
 5248/58608 [=>............................] - ETA: 6:01 - loss: 2.4877
 5264/58608 [=>............................] - ETA: 6:01 - loss: 2.4874
 5280/58608 [=>............................] - ETA: 6:01 - loss: 2.4875
 5296/58608 [=>............................] - ETA: 6:00 - loss: 2.4876
 5312/58608 [=>............................] - ETA: 6:00 - loss: 2.4887
 5328/58608 [=>............................] - ETA: 6:00 - loss: 2.4879
 5344/58608 [=>............................] - ETA: 6:00 - loss: 2.4891
 5360/58608 [=>............................] - ETA: 6:00 - loss: 2.4898
 5376/58608 [=>............................] - ETA: 6:00 - loss: 2.4900
 5392/58608 [=>............................] - ETA: 6:00 - loss: 2.4899
 5408/58608 [=>............................] - ETA: 6:00 - loss: 2.4874
 5424/58608 [=>............................] - ETA: 5:59 - loss: 2.4870
 5440/58608 [=>............................] - ETA: 5:59 - loss: 2.4891
 5456/58608 [=>............................] - ETA: 5:59 - loss: 2.4870
 5472/58608 [=>............................] - ETA: 5:59 - loss: 2.4871
 5488/58608 [=>............................] - ETA: 5:59 - loss: 2.4870
 5504/58608 [=>............................] - ETA: 5:59 - loss: 2.4880
 5520/58608 [=>............................] - ETA: 5:59 - loss: 2.4886
 5536/58608 [=>............................] - ETA: 5:59 - loss: 2.4884
 5552/58608 [=>............................] - ETA: 5:58 - loss: 2.4868
 5568/58608 [=>............................] - ETA: 5:58 - loss: 2.4880
 5584/58608 [=>............................] - ETA: 5:58 - loss: 2.4907
 5600/58608 [=>............................] - ETA: 5:58 - loss: 2.4915
 5616/58608 [=>............................] - ETA: 5:58 - loss: 2.4913
 5632/58608 [=>............................] - ETA: 5:58 - loss: 2.4932
 5648/58608 [=>............................] - ETA: 5:58 - loss: 2.4945
 5664/58608 [=>............................] - ETA: 5:58 - loss: 2.4956
 5680/58608 [=>............................] - ETA: 5:57 - loss: 2.4973
 5696/58608 [=>............................] - ETA: 5:57 - loss: 2.4973
 5712/58608 [=>............................] - ETA: 5:57 - loss: 2.4979
 5728/58608 [=>............................] - ETA: 5:57 - loss: 2.4998
 5744/58608 [=>............................] - ETA: 5:57 - loss: 2.4993
 5760/58608 [=>............................] - ETA: 5:57 - loss: 2.5016
 5776/58608 [=>............................] - ETA: 5:57 - loss: 2.5022
 5792/58608 [=>............................] - ETA: 5:57 - loss: 2.5013
 5808/58608 [=>............................] - ETA: 5:57 - loss: 2.5004
